ring_no,wing_length
KPJ625,63
KPJ623,62
KPJ621,63
KPJ613,56
KPJ601,62
BLP696,57
BLP695,61
BLP689,63
BLP686,63
BLP679,55
BLP665,59
BLP664,60
BLP663,61
BLP661,58
BLP623,60
BLP620,61
BLP601,61
HVY296,59
HVY293,59
HVY292,60
HVY283,60
HVY279,55
HVY275,60
HVY261,55
HVY260,61
HVY207,57
HVY204,60
HVY203,57
HTR299,60
HTR296,61
HTR293,61
HTR292,55
HTR282,60
HTR278,61
HTR276,62
HTR275,63
HTR273,63
HTR271,61
HTR269,60
HTR266,62
HTR260,56
HTR259,62
HTR249,61
HTR247,62
HTR246,58
HTR244,54
HTR243,62
HVY197,61
HVY196,61
HVY195,59
HVY194,62
HVY192,62
HVY191,63
HVY190,63
HVY189,62
HVY188,62
HVY187,60
HVY183,61
HVY178,60
HVY175,62
HVY173,57
HVY165,61
HVY164,62
HVY163,61
HVY162,63
HVY160,61
HVY156,61
HVY153,60
HVY150,63
HVY149,61
HVY148,62
HVY147,59
HVY138,61
HVY137,61
HVY128,55
HVY125,60
HVY117,56
HVY113,60
HTR389,58
HTR387,61
HTR383,63
HTR381,62
HTR372,57
HTR366,55
HTR364,61
HTR356,62
HTR345,57
HTR328,61
HTR315,60
HTR313,56
HTR311,54
HTR310,60
HTR309,53
